in s,C1 in V
2.980174E-02,1.627E-01
2.980225E-02,1.627E-01
2.980275E-02,1.822E-01
2.980326E-02,1.920E-01
2.980376E-02,1.920E-01
2.980427E-02,2.213E-01
2.980477E-02,1.822E-01
2.980528E-02,1.822E-01
2.980579E-02,1.725E-01
2.980629E-02,2.018E-01
2.980680E-02,2.018E-01
2.980730E-02,1.725E-01
2.980781E-02,1.920E-01
2.980831E-02,1.725E-01
2.980882E-02,1.725E-01
2.980932E-02,1.920E-01
2.980983E-02,1.920E-01
2.981034E-02,2.018E-01
2.981084E-02,1.920E-01
2.981135E-02,1.822E-01
2.981185E-02,2.213E-01
2.981236E-02,1.920E-01
2.981286E-02,1.920E-01
2.981337E-02,1.822E-01
2.981388E-02,1.822E-01
2.981438E-02,1.725E-01
2.981489E-02,1.920E-01
2.981539E-02,1.627E-01
2.981590E-02,2.115E-01
2.981640E-02,1.822E-01
2.981691E-02,2.213E-01
2.981741E-02,2.115E-01
2.981792E-02,1.920E-01
2.981843E-02,1.920E-01
2.981893E-02,2.115E-01
2.981944E-02,2.018E-01
2.981994E-02,1.920E-01
2.982045E-02,2.018E-01
2.982095E-02,2.115E-01
2.982146E-02,1.725E-01
2.982196E-02,1.920E-01
2.982247E-02,1.627E-01
2.982298E-02,2.213E-01
2.982348E-02,1.920E-01
2.982399E-02,2.311E-01
2.982449E-02,2.311E-01
2.982500E-02,2.213E-01
2.982550E-02,2.213E-01
2.982601E-02,2.115E-01
2.982652E-02,1.822E-01
2.982702E-02,1.920E-01
2.982753E-02,1.920E-01
2.982803E-02,1.529E-01
2.982854E-02,2.018E-01
2.982904E-02,1.920E-01
2.982955E-02,1.725E-01
2.983005E-02,2.115E-01
2.983056E-02,1.920E-01
2.983107E-02,2.018E-01
2.983157E-02,2.213E-01
2.983208E-02,2.018E-01
2.983258E-02,2.115E-01
2.983309E-02,1.627E-01
2.983359E-02,2.018E-01
2.983410E-02,1.920E-01
2.983460E-02,2.018E-01
2.983511E-02,1.725E-01
2.983562E-02,1.920E-01
2.983612E-02,1.627E-01
2.983663E-02,2.018E-01
2.983713E-02,1.725E-01
2.983764E-02,1.725E-01
2.983814E-02,1.627E-01
2.983865E-02,1.822E-01
2.983916E-02,1.920E-01
2.983966E-02,2.213E-01
2.984017E-02,1.920E-01
2.984067E-02,2.115E-01
2.984118E-02,1.920E-01
2.984168E-02,1.920E-01
2.984219E-02,2.311E-01
2.984269E-02,2.213E-01
2.984320E-02,2.018E-01
2.984371E-02,1.920E-01
2.984421E-02,2.018E-01
2.984472E-02,2.115E-01
2.984522E-02,2.115E-01
2.984573E-02,2.213E-01
2.984623E-02,2.115E-01
2.984674E-02,2.115E-01
2.984724E-02,1.920E-01
2.984775E-02,2.213E-01
2.984826E-02,2.213E-01
2.984876E-02,2.115E-01
2.984927E-02,2.018E-01
2.984977E-02,1.725E-01
2.985028E-02,1.822E-01
2.985078E-02,2.115E-01
2.985129E-02,2.018E-01
2.985180E-02,2.213E-01
2.985230E-02,2.018E-01
2.985281E-02,2.018E-01
2.985331E-02,1.920E-01
2.985382E-02,2.115E-01
2.985432E-02,1.920E-01
2.985483E-02,1.920E-01
2.985533E-02,2.115E-01
2.985584E-02,2.115E-01
2.985635E-02,2.213E-01
2.985685E-02,2.506E-01
2.985736E-02,2.018E-01
2.985786E-02,2.213E-01
2.985837E-02,2.213E-01
2.985887E-02,1.920E-01
2.985938E-02,2.213E-01
2.985988E-02,1.920E-01
2.986039E-02,2.311E-01
2.986090E-02,2.115E-01
2.986140E-02,2.311E-01
2.986191E-02,1.920E-01
2.986241E-02,2.311E-01
2.986292E-02,2.115E-01
2.986342E-02,2.213E-01
2.986393E-02,2.115E-01
2.986444E-02,2.311E-01
2.986494E-02,2.213E-01
2.986545E-02,2.213E-01
2.986595E-02,2.115E-01
2.986646E-02,2.213E-01
2.986696E-02,2.506E-01
2.986747E-02,2.311E-01
2.986797E-02,2.311E-01
2.986848E-02,2.213E-01
2.986899E-02,2.115E-01
2.986949E-02,2.213E-01
2.987000E-02,2.018E-01
2.987050E-02,2.311E-01
2.987101E-02,2.213E-01
2.987151E-02,1.920E-01
2.987202E-02,2.311E-01
2.987252E-02,2.115E-01
2.987303E-02,2.018E-01
2.987354E-02,1.920E-01
2.987404E-02,2.115E-01
2.987455E-02,2.213E-01
2.987505E-02,2.115E-01
2.987556E-02,2.115E-01
2.987606E-02,2.311E-01
2.987657E-02,2.213E-01
2.987708E-02,2.115E-01
2.987758E-02,2.408E-01
2.987809E-02,2.311E-01
2.987859E-02,2.018E-01
2.987910E-02,2.506E-01
2.987960E-02,2.408E-01
2.988011E-02,2.018E-01
2.988061E-02,2.213E-01
2.988112E-02,2.018E-01
2.988163E-02,1.920E-01
2.988213E-02,2.213E-01
2.988264E-02,2.311E-01
2.988314E-02,1.920E-01
2.988365E-02,2.213E-01
2.988415E-02,2.311E-01
2.988466E-02,2.115E-01
2.988516E-02,2.213E-01
2.988567E-02,2.018E-01
2.988618E-02,1.920E-01
2.988668E-02,2.018E-01
2.988719E-02,2.408E-01
2.988769E-02,2.408E-01
2.988820E-02,2.115E-01
2.988870E-02,2.213E-01
2.988921E-02,2.213E-01
2.988972E-02,2.213E-01
2.989022E-02,2.408E-01
2.989073E-02,2.604E-01
2.989123E-02,2.506E-01
2.989174E-02,2.213E-01
2.989224E-02,2.213E-01
2.989275E-02,2.506E-01
2.989325E-02,2.506E-01
2.989376E-02,2.311E-01
2.989427E-02,2.311E-01
2.989477E-02,2.506E-01
2.989528E-02,2.311E-01
2.989578E-02,2.408E-01
2.989629E-02,2.311E-01
2.989679E-02,2.408E-01
2.989730E-02,2.408E-01
2.989780E-02,2.506E-01
2.989831E-02,2.408E-01
2.989882E-02,2.311E-01
2.989932E-02,2.506E-01
2.989983E-02,2.506E-01
2.990033E-02,2.604E-01
2.990084E-02,2.604E-01
2.990134E-02,2.604E-01
2.990185E-02,2.701E-01
2.990236E-02,2.408E-01
2.990286E-02,2.701E-01
2.990337E-02,2.604E-01
2.990387E-02,2.701E-01
2.990438E-02,2.799E-01
2.990488E-02,2.604E-01
2.990539E-02,2.604E-01
2.990589E-02,2.506E-01
2.990640E-02,2.408E-01
2.990691E-02,2.311E-01
2.990741E-02,2.604E-01
2.990792E-02,2.506E-01
2.990842E-02,2.604E-01
2.990893E-02,2.994E-01
2.990943E-02,2.701E-01
2.990994E-02,2.896E-01
2.991044E-02,2.896E-01
2.991095E-02,2.604E-01
2.991146E-02,2.604E-01
2.991196E-02,2.604E-01
