in s,C3 in V
-4.00004E-03,-1.123E-03
-3.99984E-03,-1.318E-03
-3.99964E-03,-5.367E-04
-3.99943E-03,-1.513E-03
-3.99923E-03,-7.320E-04
-3.99903E-03,-1.123E-03
-3.99883E-03,-1.318E-03
-3.99863E-03,-1.709E-03
-3.99843E-03,-2.490E-03
-3.99822E-03,-2.099E-03
-3.99802E-03,-2.490E-03
-3.99782E-03,-2.490E-03
-3.99762E-03,-2.295E-03
-3.99742E-03,-2.490E-03
-3.99722E-03,-2.685E-03
-3.99701E-03,-1.318E-03
-3.99681E-03,-1.513E-03
-3.99661E-03,-1.904E-03
-3.99641E-03,-2.099E-03
-3.99621E-03,-1.318E-03
-3.99601E-03,-2.685E-03
-3.99580E-03,-2.295E-03
-3.99560E-03,-1.904E-03
-3.99540E-03,-1.318E-03
-3.99520E-03,-1.318E-03
-3.99500E-03,-1.513E-03
-3.99480E-03,-5.367E-04
-3.99460E-03,-1.709E-03
-3.99439E-03,-1.513E-03
-3.99419E-03,-1.123E-03
-3.99399E-03,-9.273E-04
-3.99379E-03,-9.273E-04
-3.99359E-03,-1.709E-03
-3.99339E-03,-1.318E-03
-3.99318E-03,-7.320E-04
-3.99298E-03,-1.123E-03
-3.99278E-03,-2.099E-03
-3.99258E-03,-1.513E-03
-3.99238E-03,-9.273E-04
-3.99218E-03,-1.513E-03
-3.99197E-03,-1.709E-03
-3.99177E-03,-1.123E-03
-3.99157E-03,-5.367E-04
-3.99137E-03,-1.123E-03
-3.99117E-03,-1.123E-03
-3.99097E-03,-3.414E-04
-3.99076E-03,-5.367E-04
-3.99056E-03,-5.367E-04
-3.99036E-03,-1.123E-03
-3.99016E-03,2.445E-04
-3.98996E-03,-5.367E-04
-3.98976E-03,2.445E-04
-3.98956E-03,2.445E-04
-3.98935E-03,2.445E-04
-3.98915E-03,-1.461E-04
-3.98895E-03,4.922E-05
-3.98875E-03,4.922E-05
-3.98855E-03,-5.367E-04
-3.98835E-03,-1.123E-03
-3.98814E-03,4.922E-05
-3.98794E-03,-5.367E-04
-3.98774E-03,-1.123E-03
-3.98754E-03,-5.367E-04
-3.98734E-03,-3.414E-04
-3.98714E-03,-1.318E-03
-3.98693E-03,-5.367E-04
-3.98673E-03,-7.320E-04
-3.98653E-03,-1.123E-03
-3.98633E-03,-1.318E-03
-3.98613E-03,-1.123E-03
-3.98593E-03,-1.513E-03
-3.98572E-03,-1.513E-03
-3.98552E-03,-5.367E-04
-3.98532E-03,-1.123E-03
-3.98512E-03,-7.320E-04
-3.98492E-03,-7.320E-04
-3.98472E-03,-7.320E-04
-3.98452E-03,-1.318E-03
-3.98431E-03,-1.318E-03
-3.98411E-03,-1.318E-03
-3.98391E-03,-9.273E-04
-3.98371E-03,-9.273E-04
-3.98351E-03,-5.367E-04
-3.98331E-03,-9.273E-04
-3.98310E-03,-7.320E-04
-3.98290E-03,4.922E-05
-3.98270E-03,-5.367E-04
-3.98250E-03,-3.414E-04
-3.98230E-03,4.398E-04
-3.98210E-03,8.305E-04
-3.98189E-03,-5.367E-04
-3.98169E-03,-5.367E-04
-3.98149E-03,4.922E-05
-3.98129E-03,4.922E-05
-3.98109E-03,2.445E-04
-3.98089E-03,-1.461E-04
-3.98068E-03,2.445E-04
-3.98048E-03,-3.414E-04
-3.98028E-03,4.398E-04
-3.98008E-03,-3.414E-04
-3.97988E-03,2.445E-04
-3.97968E-03,-1.123E-03
-3.97948E-03,-5.367E-04
-3.97927E-03,-7.320E-04
-3.97907E-03,-7.320E-04
-3.97887E-03,-1.318E-03
-3.97867E-03,-1.123E-03
-3.97847E-03,-1.513E-03
-3.97827E-03,-5.367E-04
-3.97806E-03,-1.318E-03
-3.97786E-03,-3.414E-04
-3.97766E-03,-1.513E-03
-3.97746E-03,-1.513E-03
-3.97726E-03,-1.318E-03
