in s,C3 in V
-7.70004E-03,-1.318E-03
-7.69984E-03,-1.904E-03
-7.69964E-03,-2.685E-03
-7.69943E-03,-7.320E-04
-7.69923E-03,-9.273E-04
-7.69903E-03,-2.099E-03
-7.69883E-03,-1.904E-03
-7.69863E-03,-1.513E-03
-7.69843E-03,-1.904E-03
-7.69822E-03,-1.513E-03
-7.69802E-03,-1.904E-03
-7.69782E-03,-1.123E-03
-7.69762E-03,-1.513E-03
-7.69742E-03,-2.099E-03
-7.69722E-03,-2.099E-03
-7.69701E-03,-1.123E-03
-7.69681E-03,-1.904E-03
-7.69661E-03,-1.709E-03
-7.69641E-03,-2.099E-03
-7.69621E-03,-1.513E-03
-7.69601E-03,-2.295E-03
-7.69580E-03,-2.685E-03
-7.69560E-03,-2.099E-03
-7.69540E-03,-1.318E-03
-7.69520E-03,-1.904E-03
-7.69500E-03,-7.320E-04
-7.69480E-03,-9.273E-04
-7.69460E-03,-7.320E-04
-7.69439E-03,-7.320E-04
-7.69419E-03,-1.123E-03
-7.69399E-03,-1.513E-03
-7.69379E-03,-5.367E-04
-7.69359E-03,-9.273E-04
-7.69339E-03,-5.367E-04
-7.69318E-03,-3.414E-04
-7.69298E-03,-5.367E-04
-7.69278E-03,-5.367E-04
-7.69258E-03,-5.367E-04
-7.69238E-03,4.922E-05
-7.69218E-03,-9.273E-04
-7.69197E-03,4.922E-05
-7.69177E-03,4.922E-05
-7.69157E-03,4.922E-05
-7.69137E-03,2.445E-04
-7.69117E-03,8.305E-04
-7.69097E-03,4.398E-04
-7.69076E-03,6.352E-04
-7.69056E-03,2.445E-04
-7.69036E-03,-3.414E-04
-7.69016E-03,2.445E-04
-7.68996E-03,4.922E-05
-7.68976E-03,-1.123E-03
-7.68956E-03,-7.320E-04
-7.68935E-03,-1.123E-03
-7.68915E-03,-1.123E-03
-7.68895E-03,2.445E-04
-7.68875E-03,4.922E-05
-7.68855E-03,4.922E-05
-7.68835E-03,-1.461E-04
-7.68814E-03,-5.367E-04
-7.68794E-03,-5.367E-04
-7.68774E-03,2.445E-04
-7.68754E-03,-3.414E-04
-7.68734E-03,8.305E-04
-7.68714E-03,-3.414E-04
-7.68693E-03,2.445E-04
-7.68673E-03,4.922E-05
-7.68653E-03,-1.123E-03
-7.68633E-03,-1.318E-03
-7.68613E-03,-5.367E-04
-7.68593E-03,-7.320E-04
-7.68572E-03,-9.273E-04
-7.68552E-03,-1.461E-04
-7.68532E-03,-7.320E-04
-7.68512E-03,-5.367E-04
-7.68492E-03,-7.320E-04
-7.68472E-03,-9.273E-04
-7.68452E-03,-1.123E-03
-7.68431E-03,-1.123E-03
-7.68411E-03,-5.367E-04
-7.68391E-03,-3.414E-04
-7.68371E-03,-1.318E-03
-7.68351E-03,-1.123E-03
-7.68331E-03,-1.123E-03
-7.68310E-03,-7.320E-04
-7.68290E-03,-1.123E-03
-7.68270E-03,-1.318E-03
-7.68250E-03,-1.513E-03
-7.68230E-03,-9.273E-04
-7.68210E-03,-9.273E-04
-7.68189E-03,-1.513E-03
-7.68169E-03,-1.123E-03
-7.68149E-03,-1.461E-04
-7.68129E-03,-1.513E-03
-7.68109E-03,-1.318E-03
-7.68089E-03,-1.123E-03
-7.68068E-03,-1.461E-04
-7.68048E-03,-1.513E-03
-7.68028E-03,-9.273E-04
-7.68008E-03,-9.273E-04
-7.67988E-03,-1.461E-04
-7.67968E-03,-9.273E-04
-7.67948E-03,-1.709E-03
-7.67927E-03,-1.318E-03
-7.67907E-03,-9.273E-04
-7.67887E-03,-1.123E-03
-7.67867E-03,-1.318E-03
-7.67847E-03,-2.099E-03
-7.67827E-03,-1.513E-03
-7.67806E-03,-7.320E-04
-7.67786E-03,-1.318E-03
-7.67766E-03,-9.273E-04
-7.67746E-03,-1.513E-03
-7.67726E-03,-2.295E-03
-7.67706E-03,-2.295E-03
-7.67685E-03,-2.295E-03
-7.67665E-03,-1.318E-03
-7.67645E-03,-1.709E-03
-7.67625E-03,-1.123E-03
-7.67605E-03,-1.318E-03
-7.67585E-03,4.922E-05
-7.67564E-03,-9.273E-04
-7.67544E-03,-9.273E-04
-7.67524E-03,-1.318E-03
-7.67504E-03,-1.513E-03
-7.67484E-03,-1.513E-03
-7.67464E-03,-1.318E-03
-7.67444E-03,-1.123E-03
-7.67423E-03,-1.904E-03
-7.67403E-03,-1.513E-03
-7.67383E-03,-5.367E-04
-7.67363E-03,-7.320E-04
-7.67343E-03,-1.461E-04
-7.67323E-03,-3.414E-04
-7.67302E-03,4.922E-05
-7.67282E-03,-5.367E-04
-7.67262E-03,-5.367E-04
-7.67242E-03,-1.123E-03
-7.67222E-03,-1.123E-03
-7.67202E-03,-1.461E-04
-7.67181E-03,-1.461E-04
-7.67161E-03,-1.123E-03
-7.67141E-03,4.922E-05
-7.67121E-03,-9.273E-04
-7.67101E-03,-7.320E-04
-7.67081E-03,-1.461E-04
-7.67060E-03,-1.461E-04
-7.67040E-03,4.922E-05
-7.67020E-03,6.352E-04
-7.67000E-03,4.922E-05
-7.66980E-03,4.922E-05
-7.66960E-03,-5.367E-04
-7.66940E-03,-1.318E-03
-7.66919E-03,-1.904E-03
-7.66899E-03,-7.320E-04
-7.66879E-03,-5.367E-04
-7.66859E-03,-7.320E-04
-7.66839E-03,-7.320E-04
-7.66819E-03,-1.709E-03
-7.66798E-03,-9.273E-04
-7.66778E-03,-3.414E-04
-7.66758E-03,-5.367E-04
-7.66738E-03,-7.320E-04
-7.66718E-03,-1.461E-04
-7.66698E-03,-5.367E-04
-7.66677E-03,-5.367E-04
-7.66657E-03,-5.367E-04
-7.66637E-03,2.445E-04
-7.66617E-03,-7.320E-04
-7.66597E-03,4.922E-05
-7.66577E-03,-5.367E-04
-7.66556E-03,-1.123E-03
-7.66536E-03,-7.320E-04
-7.66516E-03,-1.123E-03
-7.66496E-03,-1.513E-03
-7.66476E-03,-1.904E-03
-7.66456E-03,-1.513E-03
-7.66436E-03,-7.320E-04
