in s,C3 in V
4.779996E-02,-1.660E-03
4.780016E-02,-2.051E-03
4.780036E-02,-1.270E-03
4.780057E-02,-1.855E-03
4.780077E-02,-1.465E-03
4.780097E-02,-2.246E-03
4.780117E-02,-1.855E-03
4.780137E-02,-1.660E-03
4.780157E-02,-3.418E-03
4.780178E-02,-1.660E-03
4.780198E-02,-2.441E-03
4.780218E-02,-2.441E-03
4.780238E-02,-2.246E-03
4.780258E-02,-2.051E-03
4.780278E-02,-2.051E-03
4.780299E-02,-2.441E-03
4.780319E-02,-1.270E-03
4.780339E-02,-2.246E-03
4.780359E-02,-2.832E-03
4.780379E-02,-1.465E-03
4.780399E-02,-1.855E-03
4.780420E-02,-1.465E-03
4.780440E-02,-1.855E-03
4.780460E-02,-1.660E-03
4.780480E-02,-1.855E-03
4.780500E-02,-1.660E-03
4.780520E-02,-3.027E-03
4.780540E-02,-2.832E-03
4.780561E-02,-3.027E-03
4.780581E-02,-1.465E-03
4.780601E-02,-2.246E-03
4.780621E-02,-2.246E-03
4.780641E-02,-3.027E-03
4.780661E-02,-1.855E-03
4.780682E-02,-3.223E-03
4.780702E-02,-3.027E-03
4.780722E-02,-3.809E-03
4.780742E-02,-2.832E-03
4.780762E-02,-3.613E-03
4.780782E-02,-2.637E-03
4.780803E-02,-2.637E-03
4.780823E-02,-1.660E-03
4.780843E-02,-2.051E-03
4.780863E-02,-2.832E-03
4.780883E-02,-3.418E-03
4.780903E-02,-2.051E-03
4.780924E-02,-3.613E-03
4.780944E-02,-3.027E-03
4.780964E-02,-3.613E-03
4.780984E-02,-3.418E-03
4.781004E-02,-2.441E-03
4.781024E-02,-4.004E-03
4.781044E-02,-3.613E-03
4.781065E-02,-3.418E-03
4.781085E-02,-4.004E-03
4.781105E-02,-2.637E-03
4.781125E-02,-3.809E-03
4.781145E-02,-3.613E-03
4.781165E-02,-3.613E-03
4.781186E-02,-4.199E-03
4.781206E-02,-4.590E-03
4.781226E-02,-4.199E-03
4.781246E-02,-4.980E-03
4.781266E-02,-4.395E-03
4.781286E-02,-4.199E-03
4.781307E-02,-4.004E-03
4.781327E-02,-4.395E-03
4.781347E-02,-4.199E-03
4.781367E-02,-4.199E-03
4.781387E-02,-3.613E-03
4.781407E-02,-4.395E-03
4.781428E-02,-3.223E-03
4.781448E-02,-4.004E-03
4.781468E-02,-2.832E-03
4.781488E-02,-2.832E-03
4.781508E-02,-2.832E-03
4.781528E-02,-3.613E-03
4.781548E-02,-3.613E-03
4.781569E-02,-4.590E-03
4.781589E-02,-3.027E-03
4.781609E-02,-3.418E-03
4.781629E-02,-3.613E-03
4.781649E-02,-3.809E-03
4.781669E-02,-4.590E-03
4.781690E-02,-2.832E-03
4.781710E-02,-2.832E-03
4.781730E-02,-3.223E-03
4.781750E-02,-2.441E-03
4.781770E-02,-4.004E-03
4.781790E-02,-2.051E-03
4.781811E-02,-3.418E-03
4.781831E-02,-2.832E-03
4.781851E-02,-3.613E-03
4.781871E-02,-2.051E-03
4.781891E-02,-2.051E-03
4.781911E-02,-1.660E-03
4.781932E-02,-1.660E-03
4.781952E-02,-1.465E-03
4.781972E-02,-2.246E-03
4.781992E-02,-3.027E-03
4.782012E-02,-2.441E-03
4.782032E-02,-1.660E-03
4.782052E-02,-2.246E-03
4.782073E-02,-2.246E-03
4.782093E-02,-2.832E-03
4.782113E-02,-1.855E-03
4.782133E-02,-2.441E-03
4.782153E-02,-2.051E-03
4.782173E-02,-1.660E-03
4.782194E-02,-1.465E-03
4.782214E-02,-2.051E-03
4.782234E-02,-2.441E-03
4.782254E-02,-2.246E-03
